datetime,close_call,iv_call,spot,close_put,iv_put,straddle_cost,avg_iv
2026-02-06 13:40:00,261.65,8.946312,25578.45,209.45,11.368502,471.09999999999997,10.157407
2026-02-06 13:45:00,264.4,8.797844,25588.75,207.75,11.489248,472.15,10.143546
2026-02-06 13:50:00,281.0,8.729826,25618.6,197.05,11.566445,478.05,10.148135499999999
2026-02-06 13:55:00,280.8,8.750486,25617.6,196.95,11.544291,477.75,10.1473885
2026-02-06 14:00:00,281.45,8.746351,25618.85,196.4,11.543099,477.85,10.144725000000001
2026-02-06 14:05:00,255.95,8.757276,25625.3,215.75,11.573366,471.7,10.165320999999999
2026-02-06 14:10:00,276.25,8.6964,25612.3,200.15,11.592443,476.4,10.1444215
2026-02-06 14:15:00,280.8,8.69698,25619.7,197.2,11.596535,478.0,10.1467575
2026-02-06 14:20:00,272.0,8.716176,25604.75,203.15,11.588306,475.15,10.152241
2026-02-06 14:25:00,275.0,8.683096,25610.9,200.95,11.604406,475.95,10.143751000000002
2026-02-06 14:30:00,281.0,8.642228,25622.1,195.9,11.583848,476.9,10.113038
2026-02-06 14:35:00,257.0,8.648245,25631.55,218.2,11.805543,475.2,10.226894
2026-02-06 14:40:00,270.75,8.72151,25651.85,206.75,11.679775,477.5,10.2006425
2026-02-06 14:45:00,262.6,8.768311,25636.6,213.0,11.671942,475.6,10.2201265
2026-02-06 14:50:00,270.8,8.741853,25651.3,207.7,11.713209,478.5,10.227531
2026-02-06 14:55:00,278.25,8.551128,25670.3,198.55,11.655297,476.8,10.1032125
2026-02-06 15:00:00,249.25,8.179488,25685.45,219.2,11.909234,468.45,10.044360999999999
2026-02-06 15:05:00,250.75,8.055347,25692.55,218.3,12.00449,469.05,10.0299185
2026-02-06 15:10:00,253.45,8.014811,25698.5,214.2,11.93483,467.65,9.9748205
2026-02-06 15:15:00,248.45,7.880778,25695.2,220.2,12.140286,468.65,10.010532
2026-02-06 15:20:00,252.75,7.917422,25700.95,218.3,12.164594,471.05,10.041008
2026-02-06 15:25:00,280.5,8.568932,25673.6,197.85,11.68801,478.35,10.128471000000001
2026-02-09 09:15:00,266.8,9.36535,25815.55,184.2,11.410972,451.0,10.388161
2026-02-09 09:20:00,275.5,9.625201,25821.2,180.35,11.338106,455.85,10.4816535
2026-02-09 09:25:00,275.75,9.588924,25822.9,180.9,11.399172,456.65,10.494048
2026-02-09 09:30:00,265.5,9.694171,25802.2,188.35,11.344465,453.85,10.519318
2026-02-09 09:35:00,257.9,9.883227,25782.45,197.45,11.375803,455.34999999999997,10.629515
2026-02-09 09:40:00,259.1,9.647699,25793.05,194.35,11.447317,453.45000000000005,10.547508
2026-02-09 09:45:00,265.65,9.423884,25812.0,188.0,11.527904,453.65,10.475894
2026-02-09 09:50:00,264.35,9.338903,25812.8,187.0,11.496527,451.35,10.417715000000001
2026-02-09 09:55:00,269.0,9.529254,25814.1,184.0,11.378552,453.0,10.453903
2026-02-09 10:00:00,273.7,9.446064,25824.75,179.6,11.378282,453.29999999999995,10.412173
2026-02-09 10:05:00,266.9,9.550017,25810.0,183.4,11.268877,450.29999999999995,10.409447
2026-02-09 10:10:00,262.7,9.632686,25800.1,187.8,11.281416,450.5,10.457051
2026-02-09 10:15:00,269.5,9.485963,25816.65,180.6,11.268248,450.1,10.377105499999999
2026-02-09 10:20:00,271.5,9.550089,25817.85,180.8,11.302614,452.3,10.426351499999999
2026-02-09 10:25:00,269.4,9.597369,25812.8,181.75,11.248436,451.15,10.4229025
2026-02-09 10:30:00,245.55,9.455498,25826.25,201.0,11.406677,446.55,10.4310875
2026-02-09 10:35:00,256.3,9.51872,25842.65,189.75,11.20923,446.05,10.363975
2026-02-09 10:40:00,259.4,9.394634,25852.35,188.2,11.33341,447.59999999999997,10.364022
2026-02-09 10:45:00,257.55,9.479444,25846.3,190.65,11.328673,448.20000000000005,10.404058500000001
2026-02-09 10:50:00,264.6,9.425258,25860.15,185.4,11.357677,450.0,10.391467500000001
2026-02-09 10:55:00,269.1,9.498704,25865.2,183.4,11.363181,452.5,10.4309425
2026-02-09 11:00:00,263.05,9.460685,25856.45,187.85,11.402687,450.9,10.431686
2026-02-09 11:05:00,262.6,9.463688,25855.65,187.45,11.368027,450.05,10.4158575
2026-02-09 11:10:00,263.05,9.415021,25858.15,187.25,11.409674,450.3,10.4123475
2026-02-09 11:15:00,266.2,9.494482,25860.75,184.45,11.327798,450.65,10.41114
2026-02-09 11:20:00,268.5,9.526625,25863.55,183.15,11.321989,451.65,10.424306999999999
2026-02-09 11:25:00,264.8,9.498144,25858.4,185.1,11.313403,449.9,10.405773499999999
2026-02-09 11:30:00,259.4,9.52508,25848.4,190.55,11.373692,449.95,10.449386
2026-02-09 11:35:00,267.2,9.572012,25860.0,184.0,11.294095,451.2,10.4330535
2026-02-09 11:40:00,260.6,9.512559,25851.0,188.75,11.341664,449.35,10.427111499999999
2026-02-09 11:45:00,258.85,9.540703,25847.1,189.6,11.303749,448.45000000000005,10.422226
2026-02-09 11:50:00,250.1,9.537983,25832.2,195.4,11.275302,445.5,10.4066425
2026-02-09 11:55:00,250.95,9.509885,25834.75,192.2,11.175688,443.15,10.342786499999999
2026-02-09 12:00:00,255.25,9.49641,25842.7,189.85,11.227828,445.1,10.362119
2026-02-09 12:05:00,262.0,9.46871,25855.2,184.5,11.225977,446.5,10.347343500000001
2026-02-09 12:10:00,261.4,9.410975,25856.25,186.0,11.320342,447.4,10.3656585
2026-02-09 12:15:00,259.3,9.40876,25852.85,188.8,11.387134,448.1,10.397946999999998
2026-02-09 12:20:00,262.45,9.400361,25858.5,186.25,11.379443,448.7,10.389902
2026-02-09 12:25:00,257.0,9.402456,25849.3,189.0,11.325971,446.0,10.3642135
2026-02-09 12:30:00,252.65,9.413658,25841.55,192.0,11.312029,444.65,10.3628435
2026-02-09 12:35:00,250.65,9.461981,25836.45,194.5,11.32735,445.15,10.394665499999999
2026-02-09 12:40:00,247.25,9.313566,25835.95,194.9,11.336929,442.15,10.3252475
2026-02-09 12:45:00,248.25,9.43611,25833.35,195.8,11.326769,444.05,10.381439499999999
2026-02-09 12:50:00,269.35,9.364788,25822.35,179.65,11.359859,449.0,10.3623235
2026-02-09 12:55:00,247.7,9.304057,25837.25,192.35,11.243733,440.04999999999995,10.273895
2026-02-09 13:00:00,250.95,9.256789,25844.55,191.4,11.349557,442.35,10.303173000000001
2026-02-09 13:05:00,255.4,9.220775,25853.4,187.5,11.343409,442.9,10.282091999999999
2026-02-09 13:10:00,254.3,9.268479,25849.95,190.6,11.423322,444.9,10.345900499999999
2026-02-09 13:15:00,255.45,9.111862,25857.35,188.5,11.473467,443.95,10.2926645
2026-02-09 13:20:00,249.0,9.119132,25846.3,192.95,11.46327,441.95,10.291201000000001
2026-02-09 13:25:00,245.0,9.158501,25838.15,194.25,11.35828,439.25,10.2583905
2026-02-09 13:30:00,249.1,9.025357,25849.85,189.0,11.347253,438.1,10.186305
2026-02-09 13:35:00,252.5,9.144961,25851.5,187.75,11.32142,440.25,10.2331905
2026-02-09 13:40:00,251.3,9.036056,25853.3,188.8,11.409579,440.1,10.222817500000001
2026-02-09 13:45:00,249.45,9.125276,25847.15,190.65,11.373823,440.1,10.2495495
2026-02-09 13:50:00,253.3,9.328383,25846.65,188.7,11.270323,442.0,10.299353
2026-02-09 13:55:00,250.05,9.200842,25845.65,190.65,11.344553,440.70000000000005,10.2726975
2026-02-09 14:00:00,247.3,9.163115,25842.35,190.8,11.284556,438.1,10.2238355
2026-02-09 14:05:00,250.2,9.194447,25846.25,187.3,11.196884,437.5,10.1956655
2026-02-09 14:10:00,250.3,9.229621,25845.25,189.0,11.259089,439.3,10.244354999999999
2026-02-09 14:15:00,252.25,9.18133,25850.3,188.2,11.324828,440.45,10.253079
2026-02-09 14:20:00,256.45,9.148288,25858.55,185.6,11.367832,442.04999999999995,10.25806
2026-02-09 14:25:00,257.35,9.189653,25858.7,187.05,11.441838,444.40000000000003,10.3157455
2026-02-09 14:30:00,254.5,9.237,25852.35,188.9,11.40288,443.4,10.319939999999999
2026-02-09 14:35:00,251.1,9.140922,25850.0,189.5,11.384579,440.6,10.2627505
2026-02-09 14:40:00,247.3,9.135645,25843.8,192.35,11.395372,439.65,10.2655085
